team,PTS Avg.,FGM Avg.,FGA Avg.,FG% Avg.,3PM Avg.,3PA Avg.,3P% Avg.,FTM Avg.,FTA Avg.,FT% Avg.,OREB Avg.,DREB Avg.,REB Avg.,AST Avg.,STL Avg.,BLK Avg.,TOV Avg.,PF Avg.,+/- Avg.,Opp. PTS Avg.,Opp. FGM Avg.,Opp. FGA Avg.,Opp. FG% Avg.,Opp. 3PM Avg.,Opp. 3PA Avg.,Opp. 3P% Avg.,Opp. FTM Avg.,Opp. FTA Avg.,Opp. FT% Avg.,Opp. OREB Avg.,Opp. DREB Avg.,Opp. REB Avg.,Opp. AST Avg.,Opp. STL Avg.,Opp. BLK Avg.,Opp. TOV Avg.,Opp. PF Avg.,Opp. +/- Avg.
ATL,1244.7971786605895,12834.461981452692,8230.208537471912,29.581600255946686,-104407.1127487134,-50972.304199258244,-2143.2631985641456,79983.01785101574,16008.676019250282,2381.5453603581636,-25655.91604367595,-63576.85150826595,-89233.567476113,78742.44781964205,26357.69776513793,43535.809750554436,-50768.47692038204,91301.20924130945,53865.80304011212,-52622.162929639904,-48989.49642314367,47637.4728168888,-843.9141839589197,-3276.4206075416973,119198.56635935395,-1659.7728123772174,48634.6120346865,-18990.490066325292,2391.7524054063906,5021.921334228982,-9352.448183312707,-4330.637612553203,74562.50779074017,55791.757618001655,-36478.82687837983,32238.40045257162,25039.825619752773,-53865.85301489112
BOS,-2510.29268065788,-4280.1366138497215,-18040.491888965058,282.04297135224186,18866.031573584838,-29565.650983982552,1165.2166412905585,-12816.019139364695,-8953.409779011474,531.9373470131212,-20368.08373879781,21304.860195016485,935.9765325800358,55030.95278843806,1178.016897385556,19987.4179869842,22918.751740024174,40253.72351039319,15845.121942347743,-18356.571690194098,-18645.43911512547,24579.19325927502,-171.0094521204297,-18973.60253418401,14964.264753771922,-476.1762667188568,37909.27058313727,-26320.73870939872,3015.406590575206,-8208.103860584513,10265.154437938858,2056.939813906983,-31667.80230902553,9502.288126687463,20252.431386485474,20449.019017563824,-7715.872975480799,-15845.171917126756
BKN,23523.870456428176,-8571.174451498162,-21037.97036978716,-154.55532032223616,36437.830433453084,-90437.26182333661,2819.511682108882,4228.420813660347,-55232.81919614174,-1155.3309142207559,-20270.090130086515,70633.06084025143,50362.1707865135,-42098.36164829125,28206.279718048827,-44063.69583580126,-31528.62729931914,86487.74981881086,53256.31400290891,-29733.60061288539,26590.584822437297,-53292.74123408173,314.5595316776956,-20956.034624389013,19540.700215579567,-2803.560133586987,-61957.374124761656,33657.110530079604,-3469.467196820258,-48673.91412656012,96399.3980663392,47725.3731757545,52748.79165429352,-48765.532082715545,-182697.494927948,64452.867794376165,1759.2504590643002,-53256.36397768794
CHA,9217.825133801412,-49401.680153040514,-49205.612244377495,-331.2504762320095,47927.56528850647,-57052.14703933304,2264.1390970662974,60093.6520382983,-11407.466659120091,2062.0500640602145,-37510.24628009506,78037.62148376754,40526.57527979136,-132685.11520891188,327.5351578131859,-96236.2573549496,84373.90005992037,-92616.9332239227,81287.79954392032,-72071.13148077969,28706.40168138273,132606.86500061268,-341.8048407324366,-107527.93942962411,-87382.13704644727,-2385.4161013789258,-21954.633905106675,-99809.39671102233,-106.1602984827147,30915.625865864266,36852.53419008704,67768.04929171993,25208.503122632956,29942.80403071236,62210.2981421196,23590.565476570016,61132.97705391882,-81287.84951869934
CHI,14633.788114852774,9304.99205080944,-21219.544746528718,356.4831567096405,2174.4277968636443,1599.1775162820109,173.96507479810023,-6150.591896432759,-185.62770721119145,156.28595881186186,-5471.613043508778,-4029.0841155606818,-9501.497082593643,21738.128412623268,16188.59459795733,3319.801033535135,22245.139876647623,24711.50217964849,15521.08550613161,-888.4544583974757,-3094.4073631774468,-6020.765303410686,103.83177715262481,5021.563660036204,-542.7826280374711,180.69933065925412,280.1581168854219,5336.5823188739105,177.2296033119172,-10382.658560677784,-1839.8623797104835,-12222.631703802042,12578.855436424195,17048.842152531648,-15359.47105783536,20302.194160432944,10058.910729171168,-15521.135480910627
CLE,1884.395611833436,629.352730570446,361.4728625358582,4.882333066692376,299.9613331407331,-138.31590644375189,12.41329454563151,325.76070475193967,193.2442753886339,13.525325514536263,485.95634351489235,416.5764208020808,901.7328407868672,-234.48974965335765,-148.98162221802153,-20.147569122235684,-5.100622612021759,42.32636766731038,2599.7958262334078,-716.5572815536725,-766.0683465311156,-897.7837327589145,-3.91738457777857,139.04687583199743,530.9951121483404,1.4547339050485077,677.8940446271065,817.9213823281208,0.9716350831842044,-488.3679837814073,-495.10718269052563,-983.5859298964014,84.90236970383098,37.0968087642017,-365.79548697775266,244.0466085715018,62.71128395179595,-2599.8458010124223
DAL,55153.65640986452,28460.589492469066,-47828.7502157896,194.07758357008356,19160.838657245076,-95307.5903708751,1402.4105918160137,-20928.329344896134,-75687.56793696166,94.99833787346424,12015.832127423591,13351.794294244171,25366.826497920905,75321.78202516987,-67905.01714262902,74711.2484822286,-16946.658587642152,7127.952868124117,41228.37303599508,13924.126306417758,9818.394042707137,74299.6914804504,-504.8708045208065,-10028.389847984126,-94517.93557072319,788.6033727042866,4317.0895776781,40488.977174721746,-2321.679931466068,-8714.53788363536,-37621.38687407418,-46336.03552135024,-272.4373023488448,-65005.35980806226,-60319.64201283892,-100571.41808037911,-67003.49907198526,-41228.423010774095
DEN,6317.894036430009,1843.6744976288626,-9145.513068923938,140.95155445887931,20713.692410085205,23194.92595055498,418.4871587421818,-18083.115481714907,-28682.2415271266,266.1162353568807,-4415.039846749374,4197.131990817972,-218.70777946371592,19988.25520669696,8820.13602690957,-4565.745390794316,16802.55497251451,807.1813963189825,21260.72254482046,-14943.985575531491,761.2695786590928,12577.50882938661,28.280414609022454,-9871.167728857206,3532.281863963928,-204.66014171872794,-6593.9954950332885,830.2868160323659,-290.7434043136465,6119.055494413131,-2643.6406902746585,3475.304040728981,-9117.97364029728,10702.10699222549,-8714.876097257795,-1128.4388195886388,-18336.85827815378,-21260.772519599475
DET,32870.06009239143,66098.00729569659,-141809.29925960055,-2000.9878091188634,-4907.297974673601,-40218.527160799764,-3262.3885955716423,-94418.62463958426,39664.79553318562,-12589.333607458073,97530.1169308983,-25250.775246487818,72278.54176391572,-91178.98078133531,194662.61681609566,165126.3131312894,-793.3171417754339,114376.19766103583,32986.46437471441,-117.5613490705384,72277.63036584332,88603.6075968258,-3188.581923505607,-107632.96627817342,6666.099816150069,-4771.803593924797,-37038.49428613999,-10213.187076989034,-8028.996770929115,-22991.489372317,25265.32926325227,2273.7291275860657,-24428.13403238528,-57904.02742024047,-178764.03294167653,-15254.431585868113,-201393.6956065187,-32986.514349493424
GSW,900.5602328611776,-1567.9561596516282,1506.9676592790406,-14.264777977413004,5303.178900873877,12585.02337860392,25.325989233949336,-1266.674461508321,-3244.12757963327,46.3358702099169,-865.4596219292514,4552.037124218841,3685.777578760901,-4406.511043364607,943.3220158752773,2853.7670105186835,-1589.8092400178277,-7148.690067484924,7110.986960729256,-6211.583795020179,1699.9753696722591,7824.056205120526,-12.734002017926437,-1141.0380090445353,-17804.390972376117,172.98570835363893,-8469.135016368567,-9012.632953495007,-124.76341577197911,2307.7428813140737,3600.718473142398,5908.350591032154,-3486.7952659938233,-602.3382954865933,-3063.029064719724,-2367.635887920308,-3704.234955562782,-7111.036935508271
HOU,19049.438477634696,30229.624255641884,53475.59849529471,247.16287367228347,-30694.92262555869,-15743.24205459432,-399.4095428642092,-10714.855520995745,24629.596639297186,-705.7747779730606,21745.764775418156,-573.8986972447015,21171.066154552973,6411.452006120602,21952.335376374387,-15399.814702323845,-14639.151787759358,23822.683649358176,17850.37799646817,1197.9034140291699,1059.2971584480142,-71316.63971514384,674.6879890297896,22027.260840135823,15257.592991262933,956.0428686412497,-22946.590233995128,-56530.36758675429,1174.8962061829375,-65629.67301087377,19911.233751258602,-45718.55002292393,3039.1895959858325,-15281.106643806,26724.23575711421,20266.81930051794,-2696.7145357951495,-17850.427971247187
IND,481.21845378892516,-1494.6857358152154,6695.31530815848,20.65103186439652,2963.4675698242327,769.8245239509881,116.5462250309149,507.1542428096126,-9099.520863110774,1060.8497682082623,-37702.35930431704,16812.77047244053,-20890.388755473654,-3861.4655306795535,19418.577801850683,-10817.742397404032,10483.804117162535,7758.981312752672,31989.50536904828,-31509.443982213736,-15169.113421317603,-16630.10509162047,-18.31011175481961,5632.376634630836,2139.0704425615254,168.14700316665605,-6802.232265397761,10319.737202918603,-107.13444808371328,-3113.7186219516875,28916.045174280585,25802.215788865426,45547.47785932113,-8736.192833391415,-12835.42483420894,71746.43820720541,26177.332847723817,-31989.555343827295
LAC,-1517.294353596943,35160.345873711834,42015.009304684165,1185.0559476717717,-20001.48427803419,36974.97537073637,-883.592293685451,-51836.46993620217,9795.757708817586,-1499.113448876196,-16257.427345690554,123488.71603592928,107230.48876648354,120370.40567001798,-26018.018752933705,-65973.2087789482,5800.1419072321305,82317.17780315063,21104.41557236984,-22622.866992782143,57044.221120535396,-67359.54348315923,1993.3081388362718,23441.81529828144,75000.19915351788,1620.0271772434573,-160151.7630227605,1498.4409463995191,-5185.088020044451,-170222.59176776785,-61344.24980383951,-231566.9523303272,32866.634672577595,30158.49035234592,22527.655524616966,66978.66995286282,72062.0254046926,-21104.465547148855
LAL,-18683.483958173485,47994.60066958139,59575.04819503754,611.14764142259,-64661.1811432875,-135765.29719433116,-568.6038844789349,-50011.47226751964,-30555.411347857862,-674.5821207481996,27454.884363920657,-6048.173076635131,21405.911363946223,160000.82854068978,-62828.467581212535,25756.507962039796,-12772.310707289034,59032.82926282007,51061.83903705885,-69746.48006207486,-11572.580009073945,-5223.344282820873,247.2127926485546,-500.7944548076854,-27425.078735373845,889.8501012431864,-46099.164080323906,26204.82888104013,-2707.114104412071,37708.28437276806,24115.970554336058,61824.144163597666,40350.314905008934,27381.82810470605,13612.547987205253,-25742.16903430603,4152.593023401757,-51061.88901183787
MEM,5588.187146031503,-3746.091952669831,22897.780137587575,-105.83526927915521,17028.07823976396,25621.326677297035,342.30684183189254,-3947.675301185062,-994.6049051599629,-80.30076973796383,25147.91116297836,-3899.4977140352958,21247.61352539445,-1217.7252052408487,8766.622709358366,-29239.635260670606,9368.529848978853,-17554.569531471498,13263.931091641742,-7676.901012759937,-132.72165542229666,-35170.61838161893,224.04146242471896,1122.2815358815749,34816.521320209766,-261.0615900609864,-8532.377728828584,3023.7907351505364,-276.7641252073923,-17237.72878729288,-1475.1869042696974,-18713.026455010866,-7491.245473940545,23345.607282851208,2661.2623971188336,25714.142144366317,-12243.592207633035,-13263.981066420758
MIA,8299.791402980743,-21054.18590115402,-94211.41088523726,781.900157455104,22379.180661844664,125431.01070543358,-942.8454824222466,28029.014430858504,44166.16975933041,784.0915052341363,-2686.62474509763,-10195.923829411113,-12883.348497922168,-136348.2199570883,34267.63824648317,-32882.43929698369,15645.147697244933,65703.44874487532,53096.67696590047,-44798.04263042253,-11749.973601848302,95444.36359992887,-65.88947101330963,-109652.81428125044,54582.646623500805,-4755.8547151328285,88356.08036446308,-108105.63628812185,7068.256399643138,44461.58294979458,-6610.614616853329,37850.8575694394,44997.62514823365,47422.74068151888,-113002.42170227283,1716.627418183196,-22455.90132920942,-53096.72694067947
MIL,188.3029392750602,1379.949029106356,-828.8521248537903,579.689138226405,4956.694050942028,3871.2551636286194,560.4710524729483,-7528.2572826837595,31453.26209466067,-830.9761498281232,-13896.019471965923,5852.061323457839,-8044.758072150478,11452.45353375618,26448.976681151198,9068.246218970211,-29930.316822038967,-41081.46617778215,13173.653092732593,-12986.50722053769,-10548.51722736104,15155.496677150184,263.9734163623088,23336.090668885452,4082.07095092339,1061.4259643687053,-15224.201925627502,-45125.04240992974,1686.1413284308055,157.35550575312575,4431.173410051952,4588.418152380572,15599.48729076717,12415.061382519221,-60406.02918944595,9260.022579506145,20128.620418262144,-13173.703067511606
