team,PTS Avg.,FGM Avg.,FGA Avg.,FG% Avg.,3PM Avg.,3PA Avg.,3P% Avg.,FTM Avg.,FTA Avg.,FT% Avg.,OREB Avg.,DREB Avg.,REB Avg.,AST Avg.,STL Avg.,BLK Avg.,TOV Avg.,PF Avg.,+/- Avg.,Opp. PTS Avg.,Opp. FGM Avg.,Opp. FGA Avg.,Opp. FG% Avg.,Opp. 3PM Avg.,Opp. 3PA Avg.,Opp. 3P% Avg.,Opp. FTM Avg.,Opp. FTA Avg.,Opp. FT% Avg.,Opp. OREB Avg.,Opp. DREB Avg.,Opp. REB Avg.,Opp. AST Avg.,Opp. STL Avg.,Opp. BLK Avg.,Opp. TOV Avg.,Opp. PF Avg.,Opp. +/- Avg.
HOU,215419.24982445707,-198079.60822793114,-500229.52044915897,-402575.5995730363,84910.49101714735,-303274.70825333573,10115.168352751583,526668.0069213427,-533103.5267384973,-220320.74840899697,440399.60368599824,-177536.08803177948,262862.7157681456,-24595.367350153192,983137.6313506817,-257341.09575960285,-395135.73688526166,204586.12992956038,-222883.8607894152,283221.8523214054,25246.846239096925,641858.312422437,-761387.2491418741,238814.8542546094,-347447.877936034,-48485.92243014418,-6085.332807626955,-238826.7880424757,118213.64876513873,-768764.4156193166,816560.1462717054,47795.6200499025,-341559.30720957887,-250650.32364257678,-403745.9049247025,194126.94293703442,134950.2408278891,-159825.7953376788
IND,299996.2670600041,-40711.21787862581,-649869.9985885748,-31108.508004138752,105952.41747838943,-142311.43495896985,-73299.57614804799,275466.3170085174,-902699.0858949086,-62896.90426369876,176803.49183965998,-331883.7955182867,-155081.10356440875,186585.6317215724,822791.3090478487,-214102.31440802536,-436290.1051051763,477545.12530578364,16733.61152073151,105682.07469894977,-112966.616135991,663252.1818850869,-808816.1332822659,339981.8478151653,-241872.4572129429,141641.9706934686,-8365.179239049321,-190894.7967031101,281479.160405848,-801262.1088293984,814519.6296360182,13257.410188107478,-333638.7089112367,-367719.89584348205,-416485.22820671194,-24950.673958608266,129449.41912458626,-381017.16968055104
LAC,388171.0856545063,-329635.9668510527,-550785.7480519526,208134.0810458614,204224.75970379927,-44484.923606209675,-292773.928710609,843218.2913233127,-470993.88358471356,-165149.18948306097,820014.3186258576,-478889.96659114107,341123.5520353104,-159425.77570132757,255502.3684113776,-354288.03397127346,-271949.7624984183,119038.28319122618,-271078.7437530442,-150228.84012319703,282297.80826630665,-89373.187963959,633469.4334328361,158011.8934811684,586625.3353994784,23487.554637259942,-872834.9883732374,191173.27051629263,106998.886464668,-310522.8958489471,494078.85427016736,183555.84781423237,-1077395.5102224639,430997.44494273455,-18028.27501230011,179444.2187971802,-480029.5516107423,-484833.12105236517
LAL,197754.10437682565,-103996.53486528285,-273635.7881101813,-270338.1682105557,-15793.527099038805,-226595.79586770467,161471.44047853054,421540.7328834432,-520853.4997569811,80572.29386920287,766417.3516449824,-501024.5339006048,265392.0178309426,290351.65561208175,378408.2384587415,-747827.3301140645,-227510.225869524,521941.6510354458,-77372.81412608582,107165.32366839386,-64288.52730739596,-169881.97620813106,-83418.2352115684,250966.7725190959,265520.7139824151,-684747.1211919175,-15223.032613068395,-191476.1814410993,-247718.7394348305,-718575.589361188,902701.4190078662,184125.71900836483,353020.1276971293,-197343.0171252143,-147442.92530979688,427571.1728318246,324188.80470581935,-413377.7187545506
MEM,366861.46516215074,-175845.53097178406,-648021.2812598502,-381532.8535574762,241016.16015307457,37477.55543875822,12845.794126480445,477536.3986239596,-757087.2957778027,120286.16898483268,482588.8998114302,-393783.26901662664,88804.83091893289,190404.95404716316,1085988.8172215798,-262403.9888538948,100271.01035172159,420870.9657253397,-187075.9780014845,338490.1321672835,56494.50563627304,429941.70966917597,-643320.3457482352,281633.3732279754,-201791.70319970074,-69846.12017491167,-56130.890731756386,-175286.37679177936,-91611.35458035953,-743537.8757586598,448199.1517796591,-295338.8345874509,-370067.1841339035,11944.196595547874,-375084.60277472605,343305.7043317942,182995.09264626322,-236699.04166672772
MIA,129261.1958195109,-69016.85828004093,-843530.0387441649,434676.8849244195,-7226.335028913022,179750.3271147851,-195200.1210050068,274521.2790657471,-606885.7344282984,-20270.222991871004,680720.03661461,-87886.88480013472,592832.3518973553,-46734.35684101347,688800.6139009884,-102977.09697620837,165195.22953914455,331477.0300259833,-6651.611741230521,-45441.69841948119,-91905.16474634933,56810.08492501877,110750.70892000211,290615.82802513754,123762.74502345643,-398627.8022549377,-152245.83531616977,-11813.3508606322,41745.70664953132,-825822.6301351566,685016.4282188782,-140806.31256684588,129882.36315001901,181726.1564490989,-597982.796063816,442565.9970597655,-21338.46502560816,-378685.06235690345
MIL,-233944.5291846761,-235887.11973722716,-384522.8235481768,71359.48232899049,526234.2038062625,-226219.34898227363,-29170.796664228335,-288404.4628760372,-674196.2826400362,107686.11452606854,1263370.3245557074,-1138456.1489664617,124913.37426743451,-400822.3091384006,450109.13665678806,24862.977850454237,58385.3790844752,1036473.7226117363,4085.072078176572,358648.25438737974,-157501.93304207016,665136.014452388,-726780.9061936996,810672.6775012714,-176046.9767106912,-102088.52845216112,-137019.19592331946,190093.40770825924,164203.7601252514,-828629.5503571414,596816.9701739874,-231812.69004416978,396672.175441614,-1544935.0498404368,675290.7042595961,-1106464.283737451,1263349.4974747954,-1109283.7330857175
MIN,489412.8745134168,-158176.3715817132,-754939.7091833757,-245881.05927474206,-174093.05230871338,-296569.07612371945,-271942.4121580337,979858.7018072408,-1068050.5765434848,-74180.56743003755,389305.05256027443,-223625.18938447905,165679.0633736851,-130500.43225758937,597752.6985027352,-1017054.6864726371,-166498.999075809,-104809.08745910256,-91785.22890419404,454262.7154696666,225817.28400532558,660285.4058179423,-1158643.5263480502,158726.31860289405,-647400.100105639,123468.05766366226,-156096.80943678613,-228032.83864281944,146941.0817464196,-127665.01993835033,170078.02471171838,42412.894188404876,244823.62574103486,-224757.5041200818,147519.7683228916,-430945.87815331336,318888.5551239045,-580266.9508308098
NOP,368927.7332700914,-12998.363299543458,-721579.4584048901,-109545.96647031473,129683.5767749079,-13602.68237105628,168841.8696434095,265240.9147885146,-911292.3643610029,-24231.386332077363,95138.14488295102,-263289.4036609158,-168152.05863399038,380306.5597425978,1206762.0331283177,-178270.6482671712,365922.80600050214,-59719.910878276845,-127850.35252583132,147358.25356280134,-49004.56844537937,551800.1277247524,-940450.6581868109,70525.61525326266,-392300.5501397601,-258743.09527237446,174843.1368263759,-11861.261675511034,359937.8784289627,-1071870.8546573233,650407.8976906128,-421463.0675092689,54385.079803875786,-341863.83733702434,-196168.45326557555,391464.79847045464,134662.63034540223,-292132.42241985357
NYK,349722.8820399615,-146420.5314665609,-607901.5942154974,121185.10338361595,-17641.03186534673,144430.03141611768,255802.52717870838,660205.0085741875,-620157.0520478878,-20392.749353012165,1109913.4833435316,-630898.9402624321,479013.74312315136,53980.96355146257,275854.3196974926,57824.04455803257,324139.0922817436,9086.690100374808,-15696.505414207604,-190695.09958432836,-208565.75363149468,270023.6967502178,-546972.1164292729,297818.30969436216,-231695.84054014058,302774.31880840304,-71380.5404090107,-103986.72295637683,-100048.7027840866,-424586.93549911043,701392.8763654875,276805.8302027825,193153.3068014404,-308055.0624369589,-168786.16616498018,-384877.600279697,-233968.13963200164,66187.98267873093
OKC,32234.563724066913,-231147.29866413688,-197773.59898410403,-214016.09702722903,46603.60256997192,-370209.63915875694,15359.898815896315,447925.59016508725,-590697.6390289043,142559.0454544413,394480.48820283246,-255161.04023802708,139318.6480652338,317741.15778302477,131932.5315960834,-556177.8978750567,-481375.0052837031,334097.60806501005,-32527.77235050252,97340.34150846965,-80405.50679283217,516459.45293586457,-499000.4539075089,349291.47116423905,144432.58890336283,-144819.1118233483,-91138.75442163013,-11640.654232565972,107713.75773322006,-200949.91638441413,-13046.69106177541,-213996.71804929667,-145239.99467114345,-142751.39322579384,548196.5039664061,23088.279731437135,284777.40495900443,-241560.86084981542
ORL,291736.042545072,-232931.28565603012,-756598.439261376,-300420.41633387335,126752.05144041691,-54851.003165896735,-104124.24172136594,630846.5941045608,-396200.4038616186,3101.777599200153,246717.1143402185,-25160.42618630563,221555.8882665657,-3008.2928942006843,980333.3269529145,-98230.76584522426,12691.820089234605,386592.9467273856,-48611.523065688394,159593.3377498624,-64326.40767748937,529546.1117229124,-731442.244702003,306446.2474000643,-293206.0236369772,201704.11443475942,-18198.73268685053,-286473.9163479645,212592.3360218948,-993925.8609878867,665644.5143810406,-328281.4571926453,-111092.22306764896,-216983.80814055694,-281722.47325417004,100655.09924744298,194754.61432129014,-365453.233917849
PHI,81355.6793905358,-184974.89801258763,-681805.4387354166,108970.66380020099,-130648.32325452098,-466150.03012759914,-1940.4788133199274,581953.8303533978,-556989.9284928883,-46202.563957466045,467518.753977752,-18723.500006947153,448794.45409891417,202087.70248373004,773642.1497736514,-363382.064111827,-239419.7618630544,336957.1504950057,-104373.54537087081,98772.6027630173,40331.91573016882,508466.92176699964,-302917.8045968894,200154.35238559972,-202732.32807333395,236559.90005001696,-182044.2194945586,45768.91933173359,42240.14335899896,-228819.83903984446,621.6554696834916,-228198.29419731957,139656.4544395467,-232036.701281834,229895.49309737294,-264200.8156050249,-73026.29609707634,-274953.6491814818
PHX,16000.976642000689,-91588.51323599133,-553278.6023139918,370098.3678431838,20074.88441867474,-280609.318592744,-55902.75527839127,179103.1504051938,-883030.6374936848,-45516.53893856139,486613.1344245369,-348380.2876144735,138232.0470155187,170636.72196434022,638908.4736189608,-252037.4157202037,-191797.88948122208,650446.5221568055,-167825.81341502533,-100373.70819231354,-71611.0848259802,99060.03409804689,-166635.9907578448,250355.3129224596,314084.5383478101,-269595.36993584386,-207505.48985041166,-382506.9017631295,117693.40824144006,-397317.68938276015,759807.6728453784,362489.87289518636,-35277.39193407709,89171.09390379542,-281724.53139747865,740378.8997205502,820044.3293192815,-385268.81865560747
POR,424339.43075109867,32750.043365574253,-498980.2324936374,-154888.6859178301,35946.3405038195,-380499.70877335174,-33772.84030759464,322893.0351734582,-771142.954362655,-170375.84801211927,89990.76723940691,-3382.9949621678106,86606.9723934115,144271.52428471448,760301.5717338521,-256915.13541834912,-172117.3301471973,295577.7473513106,-173497.5812091422,378185.7933262384,107583.2724573122,693604.5125242273,-667689.6630909097,248425.41724290396,-461260.20261891116,29701.20767836343,-85404.80721808026,-64284.71494395544,-288280.4600663245,-724363.2659796019,491278.5988827566,-233084.77773051264,-900780.1953147985,-446862.8573873356,-569480.4046173596,147732.76074838842,455235.5092673589,-306539.6347072767
SAC,273190.3660981948,-148059.23665054818,-747001.8030791465,363850.9181205347,25699.111572068665,-468322.9481900625,-34545.72456858447,543609.7594991206,-466999.100380407,-189108.63534113875,580953.3620394644,-103114.44470147556,477838.11748397216,514438.05521308543,452792.6325404414,-499044.64204489306,-402321.3287171672,-580038.6525312156,-39456.638791415564,-67523.3996172439,-15123.870178078272,286528.13249883236,-68858.80249431072,-101061.25456443122,-468943.0270223465,35384.87272475906,63786.95691002064,39379.36300727488,68903.45779484876,-226250.12920878522,464715.2138599691,238464.9740357864,46865.09950806293,-335542.4105628562,-177213.0871336056,100426.49885015945,604750.9574208101,-435894.7207502086
SAS,522170.457575534,-51298.769039264735,-741817.8650555757,-242229.19558415172,164810.28142766908,-410102.08096650103,-72777.1750830159,459957.7458380983,-457975.42596683867,-48503.14699069243,181674.2029912473,352700.56406753184,534373.9671828,275176.45324156753,469467.96429839055,-592249.1903543125,-122761.85397019965,-36089.670039315926,11325.210282464395,202946.01361912728,-54395.941648591004,223274.9591874065,-237313.63107143185,111167.57963691872,-112198.73426510885,-174277.56576891727,200571.67887555936,-298912.93147831416,33667.70650463113,-524820.1393022756,92139.98521377175,-432680.26468581846,-643293.9919409753,128107.0490243287,659151.9358013393,197503.9264626284,423784.80017019727,115270.84339539734
TOR,330380.6305181004,-133663.725624449,-574634.0308959994,-230123.5948926073,107357.37113706867,-257128.98401737417,95291.44834733807,490350.7423050918,-562741.0354810042,-354123.9316765367,365896.30156891583,-38620.24250938774,327275.25917354354,-111131.7495243741,906639.4941013891,-323214.11420147866,-14086.900375350899,507860.35505724116,-189690.38301128475,263442.7479609512,97240.45089550565,651215.3012569126,-596853.1539002975,185773.24382720032,-402927.32405263395,-86540.8431752264,-116810.03605526859,-333340.53281423985,67146.54651448167,-1013303.647884013,648801.6069565385,-364502.1515390968,-273506.1181332315,-141238.1319015847,-201910.19267784696,255910.8861888703,16380.491941509707,-221740.23582573232
UTA,172238.91234049932,-170456.66859552168,-720507.7765674075,-80374.14847623,222303.35022808897,94199.2275404655,101269.13891613953,290848.9309558662,-830637.4391432601,-29410.167012881866,358144.4833453929,-142341.04631388618,215802.63716217436,9578.680707212232,961804.1119628921,-1067115.6120625637,-685996.5267974713,857616.9290059155,-166127.92341277061,163159.27215999953,-289392.0599466993,481762.4073925852,-852052.0970822687,746347.0457454757,-70513.47210999046,247142.54447809563,-4402.292220695251,-28471.848042878606,132160.3069278549,-244667.27414430186,177928.7731776122,-66738.61154800918,75439.44787643461,69088.72143826551,83825.077435922,-355953.65316710644,512120.68404412124,-278621.81640603783
WAS,263288.94903835526,81029.76440866668,626023.5632259286,227477.08774430375,-324551.02318908006,264780.13818364363,182523.29056886284,425780.47507387324,29076.460602146257,-45494.67148409627,-482153.18356952764,272481.7104419608,-209672.27298853046,460162.16971901606,449737.81696611404,-101298.9419472238,-643491.1818519739,-604317.9159801397,-982606.6835317807,-1067366.8658620124,-705430.674863173,361412.29234118434,359212.0588817611,-253040.08994280707,6900.708277992984,374405.70649537485,596535.9358691745,-189630.25379119944,-301368.5694319974,-139962.47189378348,-291603.8635249154,-431566.4459763385,581122.0996686483,345168.3090061197,-86671.91596629079,-468474.82334557374,1133094.0473769067,-635036.8253608972
