team,PTS Avg.,FGM Avg.,FGA Avg.,FG% Avg.,3PM Avg.,3PA Avg.,3P% Avg.,FTM Avg.,FTA Avg.,FT% Avg.,OREB Avg.,DREB Avg.,REB Avg.,AST Avg.,STL Avg.,BLK Avg.,TOV Avg.,PF Avg.,+/- Avg.,Opp. PTS Avg.,Opp. FGM Avg.,Opp. FGA Avg.,Opp. FG% Avg.,Opp. 3PM Avg.,Opp. 3PA Avg.,Opp. 3P% Avg.,Opp. FTM Avg.,Opp. FTA Avg.,Opp. FT% Avg.,Opp. OREB Avg.,Opp. DREB Avg.,Opp. REB Avg.,Opp. AST Avg.,Opp. STL Avg.,Opp. BLK Avg.,Opp. TOV Avg.,Opp. PF Avg.,Opp. +/- Avg.
HOU,215221.49651647254,-198147.70559271198,-500376.9765087632,-402657.0770418739,84883.04700998237,-303348.4743071684,10049.252410190806,526633.8923500852,-533147.8743487687,-220456.48466679902,440383.84440132976,-177596.97037028137,262786.07414497534,-24632.899729172936,983122.5798654308,-257349.55255579148,-395158.06069476233,204553.22434968592,-222900.42686715967,283040.72586726217,25177.614292549428,641708.3736667816,-761468.6937646709,238797.3143721176,-347499.0709291507,-48546.33026598504,-6110.455486183433,-238860.88793509855,118083.61618690741,-768779.7148504357,816501.6466442732,47721.8211913511,-341598.1463244962,-250663.92377321867,-403753.5069672615,194102.7117606982,134914.68817534053,-159809.31094389927
IND,299929.59695937065,-40737.180970993526,-649924.1986314408,-31139.29735560193,105946.93522708371,-142327.1515965159,-73321.5729272176,275457.0553439251,-902711.0540521691,-62946.642580998094,176797.79273333514,-331903.9776180598,-155106.98477050674,186571.72211778778,822785.9427900843,-214104.86142546084,-436297.9482562658,477533.22881789773,16733.53658309013,105615.47953595767,-112991.76896274273,663198.4206896526,-808846.2326710047,339974.825943197,-241892.0910351399,141619.08872414342,-8374.44687656965,-190907.26907299753,281431.9976118636,-801268.708860823,814499.1450257584,13230.325546422899,-333653.56415123265,-367724.3050636974,-416488.1957866041,-24959.573328355706,129437.77917902316,-381017.0637753559
LAC,391223.3550242387,-327450.835118218,-552945.7428587335,211945.50170745357,202499.79453664448,-47741.62315710642,-293989.6214558102,843625.2623953493,-468298.574284263,-170582.71918186516,820745.2718983695,-476963.0096724257,343781.46222655004,-162113.5501256023,255716.07441485766,-355270.54460609227,-270478.31625305983,117141.09498125788,-264595.55501395196,-152740.86190107212,282320.00408828247,-83050.60395696886,629962.159520695,158558.7472289441,590352.1955537074,19448.024269278736,-875938.2555429279,185389.0368321919,108978.2297003452,-309086.89033656573,490651.9052972072,181564.90435376353,-1076965.8752619864,432840.3498207244,-18725.122200144244,177825.69674072505,-479039.8267579069,-491623.1244919291
LAL,197806.9353301326,-103977.83095147762,-273596.47141106956,-270315.9509394385,-15787.43905646152,-226579.63813541163,161489.4721048319,421550.0679665624,-520842.3487916789,80612.44644241188,766420.9320168323,-501005.4698994551,265414.6622039425,290362.95977421105,378410.798593578,-747824.7799673629,-227503.23796268145,521950.42167812336,-77369.18082469382,107214.52132030886,-64269.82484050596,-169839.40228809536,-83397.66593346212,250971.27367112893,265534.74133658566,-684732.1431553646,-15215.741046966403,-191465.7239956993,-247685.12293802033,-718571.2162117981,902717.2202914755,184145.89344136417,353031.787140798,-197338.3090362113,-147440.90140854998,427576.4244233446,324198.7791899248,-413381.4034354245
MEM,366900.02976031625,-175831.29347244563,-647989.0597140159,-381515.3628501073,241019.62987598218,37487.5785215219,12859.494051008902,477543.0185005409,-757079.2926700815,120319.01698044603,482592.5796654937,-393770.6698695415,88821.10992008157,190413.69897344802,1085991.786778804,-262402.23402762995,100277.04917131554,420880.7744585838,-187077.90011458934,338530.618878554,56508.61832535538,429972.60509799846,-643302.2532813291,281636.83635128284,-201781.88214220843,-69832.15938527469,-56122.092521958024,-175275.14517352643,-91580.34052390038,-743534.52025009,448212.41585231427,-295322.2150062259,-370058.885247065,11947.603255594207,-375082.518481813,343311.3232112236,183002.6037374917,-236697.1457646306
MIA,129272.15832978551,-69012.78200103571,-843521.3912287115,434682.1038381212,-7225.216574559776,179753.4701692678,-195196.2678331122,274522.97056365805,-606883.4382548428,-20261.921103454184,680721.0099971872,-87883.16478049912,592837.0452995681,-46732.12133655222,688801.6254366047,-102976.62033280153,165196.6460959511,331478.9195653039,-6650.968878660304,-45431.407142937154,-91901.14964446575,56818.97508968252,110755.65136410702,290616.530446974,123764.9495212608,-398624.0622327217,-152244.27666522918,-11811.559216668717,41755.040656044366,-825821.7995774198,685019.5919009736,-140802.31832701378,129884.13906568772,181726.8132272124,-597982.1971139687,442567.4497655446,-21336.360674372667,-378685.7335906341
MIL,-233953.21404916578,-235890.68306167616,-384529.5126707676,71355.78576281556,526233.4992118945,-226221.06533117534,-29173.44974559949,-288405.3164972611,-674197.5878252403,107681.35799788279,1263369.4964194687,-1138457.9409567358,124910.75414092204,-400824.5539848938,450108.08929236315,24862.363749496366,58384.553807552744,1036472.5039365189,4085.5743324683217,358639.153718174,-157505.15286654144,665129.9434968971,-726784.5078885929,810671.1592971529,-176049.60645436155,-102092.87468658898,-137020.33873946444,190092.00074858122,164198.29928537007,-828630.695930262,596814.8075781403,-231815.9982131378,396670.08515429095,-1544935.6515605922,675290.4200787074,-1106465.7140384957,1263347.9276021183,-1109284.148890434
MIN,489364.93555221654,-158194.63823545608,-754977.7455295516,-245902.89078357565,-174096.82300905028,-296579.69977034966,-271958.2514127668,979851.0668538631,-1068059.7992194372,-74216.52949894953,389300.9990646152,-223637.7431288997,165662.45613360498,-130511.59409297782,597747.3146421991,-1017056.255090499,-166504.34872650207,-104816.31420808374,-91787.5679877237,454217.25081568124,225800.3491288213,660250.3743135663,-1158664.9940993057,158720.51586528606,-647414.0951846587,123449.55365337957,-156102.60160015462,-228040.26800015647,146904.33210803135,-127669.62671751746,170064.50056102048,42394.76325853995,244811.50372084728,-224760.0444705234,147517.77390856278,-430954.8301523442,318878.8556310301,-580264.5359266342
NOP,368886.9290321019,-13008.09215217866,-721596.137320776,-109563.31072882781,129676.14191904041,-13618.994839002793,168823.5235723403,265227.003111663,-911311.5270042348,-24248.89832151352,95137.87073052819,-263293.8980706568,-168156.8271961541,380299.9211425704,1206762.3230510426,-178270.4435483769,365915.13512099354,-59726.48240244016,-127845.33451206179,147311.64147996783,-49020.53876020837,551776.0733079319,-940470.4228743758,70519.1953481067,-392312.2121883402,-258761.8317175181,174834.8852783564,-11870.726768855588,359908.36864676344,-1071872.0348312943,650400.5917609693,-421471.55361288384,54371.36818917641,-341867.4366955715,-196169.05088050695,391462.10109392926,134649.9159857212,-292137.09590169287
NYK,349779.7736480216,-146752.95698141723,-608236.718436774,121189.72216411379,-17719.610118235287,143897.43274162867,256588.05858496574,661005.329464816,-619214.293418695,-19944.390659749424,1110024.2328358232,-630528.5107374106,479494.9221404631,53754.453070152005,275930.42167798406,58199.13570874152,324578.2101636324,9047.253240176791,-15216.940605243235,-191043.40179047518,-208529.96521561296,270613.2043675527,-547063.2180895965,297842.72210641025,-231514.9185844463,302889.5778250873,-71824.83185898779,-104431.94243039277,-100163.79165928006,-424533.9269528071,701193.6242551839,276659.586638732,192905.78748729717,-307855.1424557431,-168707.37150209432,-384509.0578293346,-233337.11644660748,65705.55385817976
