TEAM,DATE,MATCHUP,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
MEM,11/26/17,MEM vs. BKN,L,240,88,32,80,.400,8,25,.320,16,18,.889,11,24,35,15,8,3,14,24,-10
MIN,11/26/17,MIN vs. PHX,W,240,119,49,93,.527,9,21,.429,12,17,.706,19,29,48,24,12,5,10,14,11
CHI,11/26/17,CHI vs. MIA,L,240,93,33,89,.371,14,33,.424,13,16,.813,7,40,47,25,10,2,13,18,-7
BKN,11/26/17,BKN @ MEM,W,240,98,33,74,.446,13,29,.448,19,23,.826,12,31,43,19,7,7,17,22,10
ORL,11/27/17,ORL @ IND,L,240,109,40,92,.435,16,41,.390,13,16,.813,10,25,35,22,4,9,14,23,-12
NYK,11/27/17,NYK vs. POR,L,240,91,35,88,.398,5,15,.333,16,22,.727,14,37,51,13,3,3,13,20,-12
HOU,11/27/17,HOU vs. BKN,W,240,117,42,86,.488,20,50,.400,13,20,.650,8,34,42,31,8,4,15,19,14
GSW,11/27/17,GSW vs. SAC,L,240,106,40,80,.500,16,37,.432,10,14,.714,9,27,36,31,9,6,14,15,-4
POR,11/27/17,POR @ NYK,W,240,103,37,83,.446,7,21,.333,22,26,.846,5,40,45,18,10,3,9,22,12
LAL,11/27/17,LAL @ LAC,L,240,115,44,91,.484,11,30,.367,16,24,.667,12,31,43,23,10,5,16,29,-5
LAC,11/27/17,LAC vs. LAL,W,240,120,41,85,.482,10,28,.357,28,30,.933,10,34,44,19,7,3,17,22,5
BKN,11/27/17,BKN @ HOU,L,240,103,40,86,.465,10,39,.256,13,17,.765,6,37,43,24,5,4,13,19,-14
BOS,11/27/17,BOS vs. DET,L,240,108,40,77,.519,16,33,.485,12,21,.571,5,31,36,27,2,4,17,23,-10
PHI,11/27/17,PHI vs. CLE,L,240,91,36,96,.375,3,28,.107,16,20,.800,22,31,53,15,6,2,12,18,-22
CLE,11/27/17,CLE @ PHI,W,240,113,41,86,.477,15,37,.405,16,20,.800,11,35,46,25,7,3,11,21,22
IND,11/27/17,IND vs. ORL,W,240,121,42,79,.532,15,26,.577,22,26,.846,8,35,43,25,7,8,14,18,12
SAC,11/27/17,SAC @ GSW,W,240,110,42,79,.532,9,17,.529,17,21,.810,11,25,36,27,7,6,13,15,4
DET,11/27/17,DET @ BOS,W,240,118,44,85,.518,11,25,.440,19,23,.826,8,32,40,26,8,2,8,19,10
SAS,11/27/17,SAS vs. DAL,W,240,115,43,82,.524,10,24,.417,19,21,.905,4,39,43,27,7,5,10,16,7
DAL,11/27/17,DAL @ SAS,L,240,108,41,85,.482,14,32,.438,12,17,.706,4,36,40,25,7,0,11,19,-7
CLE,11/28/17,CLE vs. MIA,W,240,108,40,81,.494,11,33,.333,17,23,.739,5,40,45,21,12,2,13,17,11
MIN,11/28/17,MIN vs. WAS,L,240,89,35,85,.412,10,30,.333,9,14,.643,13,36,49,27,3,1,10,17,-3
UTA,11/28/17,UTA vs. DEN,W,240,106,42,87,.483,14,32,.438,8,9,.889,9,34,43,24,7,6,11,20,29
MIL,11/28/17,MIL @ SAC,W,240,112,42,71,.592,9,22,.409,19,31,.613,1,37,38,27,13,5,12,22,25
PHX,11/28/17,PHX @ CHI,W,240,104,38,87,.437,11,30,.367,17,23,.739,13,44,57,25,4,4,15,12,5
MIA,11/28/17,MIA @ CLE,L,240,97,37,84,.440,10,31,.323,13,20,.650,8,34,42,24,7,5,15,19,-11
DEN,11/28/17,DEN @ UTA,L,240,77,28,78,.359,7,34,.206,14,16,.875,12,30,42,13,6,4,17,13,-29
CHI,11/28/17,CHI vs. PHX,L,240,99,38,94,.404,16,40,.400,7,10,.700,9,32,41,27,11,7,9,20,-5
WAS,11/28/17,WAS @ MIN,W,240,92,36,83,.434,10,28,.357,10,17,.588,9,35,44,23,5,4,7,16,3
SAC,11/28/17,SAC vs. MIL,L,240,87,31,77,.403,5,17,.294,20,29,.690,9,31,40,15,5,2,16,21,-25
SAS,11/29/17,SAS vs. MEM,W,240,104,38,75,.507,8,20,.400,20,24,.833,5,27,32,22,9,5,8,17,9
MIA,11/29/17,MIA @ NYK,L,240,86,32,84,.381,10,38,.263,12,20,.600,9,22,31,21,13,4,15,20,-29
NYK,11/29/17,NYK vs. MIA,W,240,115,44,73,.603,5,13,.385,22,26,.846,8,44,52,26,10,5,20,20,29
DET,11/29/17,DET vs. PHX,W,240,131,51,89,.573,13,28,.464,16,21,.762,5,39,44,31,11,6,19,22,24
PHX,11/29/17,PHX @ DET,L,240,107,39,84,.464,7,22,.318,22,28,.786,8,29,37,21,11,4,19,19,-24
ORL,11/29/17,ORL vs. OKC,W,240,121,45,76,.592,13,30,.433,18,26,.692,2,35,37,28,9,7,13,22,13
TOR,11/29/17,TOR vs. CHA,W,240,126,52,98,.531,14,32,.438,8,11,.727,11,28,39,24,6,2,9,23,13
MIN,11/29/17,MIN @ NOP,W,240,120,47,81,.580,9,23,.391,17,19,.895,10,34,44,30,10,1,17,14,18
OKC,11/29/17,OKC @ ORL,L,240,108,38,96,.396,12,32,.375,20,30,.667,21,27,48,17,8,5,13,20,-13
HOU,11/29/17,HOU vs. IND,W,240,118,42,86,.488,18,40,.450,16,21,.762,10,39,49,26,9,0,15,10,21
BKN,11/29/17,BKN @ DAL,W,240,109,42,90,.467,11,29,.379,14,25,.560,14,38,52,25,5,1,14,21,5
PHI,11/29/17,PHI vs. WAS,W,240,118,37,81,.457,3,18,.167,41,64,.641,21,43,64,23,6,8,17,27,5
IND,11/29/17,IND @ HOU,L,240,97,42,88,.477,7,28,.250,6,6,1.000,6,30,36,18,9,7,14,17,-21
CHA,11/29/17,CHA @ TOR,L,240,113,37,79,.468,9,19,.474,30,35,.857,7,29,36,26,6,2,12,17,-13
NOP,11/29/17,NOP vs. MIN,L,240,102,39,84,.464,14,35,.400,10,11,.909,8,20,28,27,8,2,16,17,-18
DAL,11/29/17,DAL vs. BKN,L,240,104,39,84,.464,9,27,.333,17,21,.810,7,37,44,26,5,3,11,23,-5
WAS,11/29/17,WAS @ PHI,L,240,113,36,89,.404,9,22,.409,32,37,.865,7,28,35,22,8,4,11,42,-5
GSW,11/29/17,GSW @ LAL,W,265,127,47,94,.500,12,30,.400,21,28,.750,12,37,49,30,10,4,22,19,4
LAL,11/29/17,LAL vs. GSW,L,265,123,47,95,.495,9,24,.375,20,25,.800,7,27,34,30,12,5,17,23,-4
MEM,11/29/17,MEM @ SAS,L,240,95,35,77,.455,11,22,.500,14,16,.875,11,26,37,21,4,1,17,19,-9
ATL,11/30/17,ATL vs. CLE,L,240,114,41,79,.519,12,31,.387,20,24,.833,8,21,29,24,9,4,17,20,-7
BOS,11/30/17,BOS vs. PHI,W,240,108,40,79,.506,12,29,.414,16,20,.800,7,33,40,25,7,7,16,20,11
DEN,11/30/17,DEN vs. CHI,W,240,111,38,83,.458,12,31,.387,23,31,.742,11,33,44,22,7,4,12,19,1
CLE,11/30/17,CLE @ ATL,W,240,121,41,79,.519,18,39,.462,21,27,.778,12,28,40,30,9,5,19,20,7
PHI,11/30/17,PHI @ BOS,L,240,97,35,84,.417,16,32,.500,11,18,.611,15,30,45,24,11,1,19,22,-11
MIL,11/30/17,MIL @ POR,W,240,103,42,87,.483,6,20,.300,13,15,.867,5,30,35,19,11,5,9,20,12
UTA,11/30/17,UTA @ LAC,W,240,126,49,85,.576,17,35,.486,11,14,.786,10,23,33,38,13,2,13,20,19
LAC,11/30/17,LAC vs. UTA,L,240,107,38,70,.543,10,29,.345,21,30,.700,10,26,36,23,8,6,19,16,-19
CHI,11/30/17,CHI @ DEN,L,240,110,44,82,.537,9,24,.375,13,21,.619,6,34,40,25,4,4,11,27,-1
POR,11/30/17,POR vs. MIL,L,240,91,35,83,.422,6,23,.261,15,17,.882,10,40,50,17,5,3,19,14,-12
MEM,12/1/17,MEM vs. SAS,L,240,79,30,74,.405,5,15,.333,14,18,.778,8,30,38,19,8,6,16,26,-16
SAC,12/1/17,SAC @ CHI,W,240,107,45,85,.529,6,18,.333,11,14,.786,8,35,43,29,5,10,12,15,1
MIN,12/1/17,MIN @ OKC,L,240,107,39,76,.513,12,24,.500,17,21,.810,6,20,26,26,7,5,16,20,-4
MIA,12/1/17,MIA vs. CHA,W,240,105,39,80,.488,14,35,.400,13,21,.619,9,30,39,25,8,4,21,24,5
NOP,12/1/17,NOP @ UTA,L,240,108,42,87,.483,15,30,.500,9,15,.600,6,36,42,28,4,7,10,20,-6
DET,12/1/17,DET @ WAS,L,240,91,35,79,.443,9,30,.300,12,19,.632,4,28,32,20,7,5,15,21,-18
SAS,12/1/17,SAS @ MEM,W,240,95,31,70,.443,11,27,.407,22,32,.688,7,36,43,20,8,5,13,18,16
WAS,12/1/17,WAS vs. DET,W,240,109,43,89,.483,7,21,.333,16,19,.842,16,33,49,28,12,6,11,20,18
GSW,12/1/17,GSW @ ORL,W,240,133,55,88,.625,12,24,.500,11,11,1.000,7,35,42,46,9,11,19,16,21
IND,12/1/17,IND @ TOR,L,240,115,45,102,.441,8,26,.308,17,22,.773,15,31,46,21,7,5,10,17,-5
UTA,12/1/17,UTA vs. NOP,W,240,114,42,85,.494,12,30,.400,18,25,.720,8,38,46,25,7,3,7,15,6
OKC,12/1/17,OKC vs. MIN,W,240,111,41,79,.519,8,26,.308,21,22,.955,13,29,42,28,7,7,18,24,4
TOR,12/1/17,TOR vs. IND,W,240,120,48,97,.495,10,32,.313,14,21,.667,12,35,47,29,6,8,12,18,5
CHI,12/1/17,CHI vs. SAC,L,240,106,42,90,.467,13,36,.361,9,13,.692,8,30,38,30,8,2,8,16,-1
ORL,12/1/17,ORL vs. GSW,L,240,112,44,96,.458,11,28,.393,13,18,.722,13,22,35,23,9,4,14,15,-21
CHA,12/1/17,CHA @ MIA,L,240,100,38,79,.481,5,20,.250,19,21,.905,10,30,40,21,9,5,22,24,-5
MEM,12/2/17,MEM @ CLE,L,240,111,43,84,.512,13,23,.565,12,14,.857,6,30,36,31,6,4,12,19,-5
BKN,12/2/17,BKN vs. ATL,L,240,102,34,82,.415,17,42,.405,17,21,.810,12,34,46,26,1,8,19,18,-12
SAC,12/2/17,SAC @ MIL,L,240,104,37,77,.481,11,24,.458,19,21,.905,6,27,33,20,7,1,15,28,-5
BOS,12/2/17,BOS vs. PHX,W,240,116,42,80,.525,14,31,.452,18,23,.783,4,27,31,32,8,6,9,16,5
DET,12/2/17,DET @ PHI,L,240,103,34,78,.436,9,31,.290,26,32,.813,7,29,36,20,8,2,16,27,-5
PHI,12/2/17,PHI vs. DET,W,240,108,35,86,.407,10,28,.357,28,32,.875,17,30,47,27,7,4,17,24,5
NOP,12/2/17,NOP @ POR,W,240,123,45,86,.523,15,31,.484,18,25,.720,4,44,48,22,2,3,10,16,7
DAL,12/2/17,DAL vs. LAC,W,240,108,36,79,.456,16,35,.457,20,26,.769,15,39,54,24,4,7,15,20,26
CLE,12/2/17,CLE vs. MEM,W,240,116,42,75,.560,11,24,.458,21,23,.913,1,30,31,24,8,7,10,14,5
DEN,12/2/17,DEN vs. LAL,W,240,115,40,87,.460,12,31,.387,23,28,.821,9,30,39,26,8,6,12,19,15
LAC,12/2/17,LAC @ DAL,L,240,82,30,86,.349,6,22,.273,16,23,.696,11,27,38,16,8,6,10,20,-26
PHX,12/2/17,PHX @ BOS,L,240,111,48,101,.475,7,24,.292,8,11,.727,16,31,47,24,8,1,10,19,-5
ATL,12/2/17,ATL @ BKN,W,240,114,47,99,.475,10,27,.370,10,14,.714,13,34,47,18,12,5,8,19,12
LAL,12/2/17,LAL @ DEN,L,240,100,38,86,.442,9,30,.300,15,21,.714,17,35,52,21,5,2,21,24,-15
POR,12/2/17,POR vs. NOP,L,240,116,47,105,.448,11,35,.314,11,11,1.000,9,35,44,20,6,3,4,17,-7
MIL,12/2/17,MIL vs. SAC,W,240,109,34,69,.493,6,19,.316,35,42,.833,9,27,36,20,9,6,15,18,5
MIA,12/3/17,MIA vs. GSW,L,240,95,33,81,.407,14,37,.378,15,17,.882,5,23,28,17,5,4,11,15,-28
GSW,12/3/17,GSW @ MIA,W,240,123,47,84,.560,11,30,.367,18,24,.750,7,34,41,32,4,4,9,14,28
NYK,12/3/17,NYK vs. ORL,L,240,100,43,93,.462,5,15,.333,9,10,.900,10,35,45,18,4,4,14,24,-5
SAS,12/3/17,SAS @ OKC,L,240,87,31,76,.408,8,28,.286,17,23,.739,8,31,39,14,11,9,17,24,-3
ORL,12/3/17,ORL @ NYK,W,240,105,37,82,.451,6,28,.214,25,29,.862,8,34,42,19,8,3,10,11,5
LAL,12/3/17,LAL vs. HOU,L,240,95,32,84,.381,9,28,.321,22,30,.733,11,34,45,16,9,6,20,22,-23
LAC,12/3/17,LAC @ MIN,L,240,106,37,73,.507,15,34,.441,17,22,.773,8,29,37,21,3,7,16,26,-6
OKC,12/3/17,OKC vs. SAS,W,240,90,37,87,.425,6,22,.273,10,21,.476,15,32,47,21,8,2,20,19,3
MIN,12/3/17,MIN vs. LAC,W,240,112,38,88,.432,8,26,.308,28,31,.903,14,28,42,22,9,1,7,16,6
HOU,12/3/17,HOU @ LAL,W,240,118,45,90,.500,14,37,.378,14,17,.824,7,36,43,17,10,4,15,23,23
PHI,12/4/17,PHI vs. PHX,L,240,101,39,91,.429,7,30,.233,16,16,1.000,13,34,47,23,9,6,14,22,-14
ORL,12/4/17,ORL @ CHA,L,240,94,36,82,.439,10,32,.313,12,14,.857,5,35,40,24,5,5,20,30,-10
GSW,12/4/17,GSW @ NOP,W,240,125,45,87,.517,16,33,.485,19,27,.704,5,35,40,36,14,5,16,17,10
MIL,12/4/17,MIL @ BOS,L,240,100,35,78,.449,9,21,.429,21,24,.875,3,25,28,17,6,2,9,17,-11
CHI,12/4/17,CHI vs. CLE,L,240,91,34,82,.415,9,34,.265,14,18,.778,10,33,43,21,4,5,11,16,-22
NYK,12/4/17,NYK @ IND,L,240,97,40,91,.440,6,23,.261,11,16,.688,15,28,43,26,4,2,17,15,-18
DEN,12/4/17,DEN @ DAL,L,240,105,38,91,.418,14,36,.389,15,23,.652,15,34,49,25,5,5,7,19,-17
SAS,12/4/17,SAS vs. DET,W,240,96,35,82,.427,14,31,.452,12,12,1.000,10,41,51,30,2,7,16,20,3
CHA,12/4/17,CHA vs. ORL,W,240,104,34,84,.405,3,17,.176,33,40,.825,11,41,52,17,13,5,14,18,10
BKN,12/4/17,BKN @ ATL,W,240,110,41,85,.482,15,36,.417,13,15,.867,12,40,52,29,7,6,22,28,20
CLE,12/4/17,CLE @ CHI,W,240,113,42,81,.519,13,36,.361,16,17,.941,5,41,46,22,6,2,7,13,22
MEM,12/4/17,MEM vs. MIN,W,240,95,34,72,.472,6,21,.286,21,24,.875,6,35,41,22,6,8,16,22,3
UTA,12/4/17,UTA vs. WAS,W,240,116,43,76,.566,16,34,.471,14,18,.778,10,42,52,29,9,3,16,20,47
BOS,12/4/17,BOS vs. MIL,W,240,111,43,78,.551,10,22,.455,15,19,.789,8,37,45,25,5,3,14,20,11
WAS,12/4/17,WAS @ UTA,L,240,69,23,80,.288,4,20,.200,19,23,.826,12,19,31,9,8,2,13,21,-47
DAL,12/4/17,DAL vs. DEN,W,240,122,49,86,.570,12,26,.462,12,17,.706,5,37,42,26,4,6,7,18,17
NOP,12/4/17,NOP vs. GSW,L,240,115,45,91,.495,16,39,.410,9,15,.600,11,36,47,33,11,4,21,26,-10
PHX,12/4/17,PHX @ PHI,W,240,115,44,91,.484,10,22,.455,17,22,.773,15,31,46,25,10,9,11,14,14
MIN,12/4/17,MIN @ MEM,L,240,92,35,79,.443,4,17,.235,18,19,.947,7,27,34,17,9,2,9,16,-3
ATL,12/4/17,ATL vs. BKN,L,240,90,30,82,.366,9,30,.300,21,27,.778,9,29,38,18,9,2,18,19,-20
DET,12/4/17,DET @ SAS,L,240,93,35,85,.412,8,27,.296,15,24,.625,7,35,42,15,8,2,10,22,-3
IND,12/4/17,IND vs. NYK,W,240,115,46,86,.535,11,26,.423,12,15,.800,7,37,44,28,10,5,16,20,18
WAS,12/5/17,WAS @ POR,W,240,106,42,89,.472,11,25,.440,11,14,.786,11,33,44,20,16,6,9,22,14
POR,12/5/17,POR vs. WAS,L,240,92,32,78,.410,12,27,.444,16,21,.762,7,34,41,18,2,5,18,20,-14
TOR,12/5/17,TOR vs. PHX,W,240,126,44,92,.478,15,36,.417,23,26,.885,8,34,42,30,13,4,15,28,13
PHX,12/5/17,PHX @ TOR,L,240,113,37,75,.493,9,24,.375,30,38,.789,0,35,35,23,7,4,17,24,-13
OKC,12/5/17,OKC vs. UTA,W,240,100,39,81,.481,4,18,.222,18,26,.692,12,34,46,18,11,6,18,18,6
UTA,12/5/17,UTA @ OKC,L,240,94,34,79,.430,11,33,.333,15,21,.714,9,26,35,18,16,5,16,21,-6
CLE,12/6/17,CLE vs. SAC,W,240,101,37,78,.474,14,39,.359,13,21,.619,7,36,43,28,5,3,15,10,6
DEN,12/6/17,DEN @ NOP,L,240,114,41,94,.436,16,35,.457,16,22,.727,10,30,40,22,7,4,9,21,-9
NYK,12/6/17,NYK vs. MEM,W,240,99,35,67,.522,9,14,.643,20,27,.741,10,32,42,22,8,3,16,21,11
LAC,12/6/17,LAC vs. MIN,L,240,107,44,99,.444,10,32,.313,9,15,.600,17,26,43,23,6,3,9,17,-6
MIL,12/6/17,MIL vs. DET,W,240,104,39,79,.494,8,22,.364,18,26,.692,13,28,41,22,7,5,12,21,4
SAS,12/6/17,SAS vs. MIA,W,240,117,46,87,.529,13,25,.520,12,14,.857,10,24,34,30,6,7,11,13,12
MEM,12/6/17,MEM @ NYK,L,240,88,29,70,.414,12,28,.429,18,22,.818,4,23,27,14,8,5,15,24,-11
ATL,12/6/17,ATL @ ORL,L,265,106,40,93,.430,11,27,.407,15,20,.750,11,38,49,25,7,3,17,16,-4
BOS,12/6/17,BOS vs. DAL,W,240,97,36,87,.414,12,34,.353,13,17,.765,9,44,53,25,8,8,11,15,7
MIA,12/6/17,MIA @ SAS,L,240,105,39,72,.542,18,34,.529,9,12,.750,6,23,29,28,7,4,18,16,-12
CHA,12/6/17,CHA vs. GSW,L,240,87,34,97,.351,6,19,.316,13,17,.765,14,35,49,17,5,3,12,13,-14
SAC,12/6/17,SAC @ CLE,L,240,95,39,86,.453,10,32,.313,7,13,.538,9,36,45,25,15,5,12,20,-6
MIN,12/6/17,MIN @ LAC,W,240,113,45,82,.549,7,19,.368,16,21,.762,8,38,46,29,4,7,15,17,6
ORL,12/6/17,ORL vs. ATL,W,265,110,46,98,.469,6,28,.214,12,18,.667,13,39,52,17,9,7,16,23,4
DAL,12/6/17,DAL @ BOS,L,240,90,34,86,.395,9,28,.321,13,17,.765,6,39,45,19,7,5,9,12,-7
NOP,12/6/17,NOP vs. DEN,W,240,123,46,86,.535,12,31,.387,19,29,.655,11,38,49,28,4,5,11,19,9
CHI,12/6/17,CHI @ IND,L,240,96,39,83,.470,10,26,.385,8,16,.500,11,35,46,18,3,5,16,15,-2
DET,12/6/17,DET @ MIL,L,240,100,36,87,.414,10,30,.333,18,27,.667,17,29,46,20,5,0,11,20,-4
IND,12/6/17,IND vs. CHI,W,240,98,39,87,.448,12,34,.353,8,10,.800,7,32,39,21,7,5,13,14,2
GSW,12/6/17,GSW @ CHA,W,240,101,40,84,.476,11,30,.367,10,13,.769,8,39,47,26,8,12,15,20,14
OKC,12/7/17,OKC @ BKN,L,240,95,38,98,.388,7,24,.292,12,23,.522,17,37,54,18,6,3,12,25,-5
WAS,12/7/17,WAS @ PHX,W,240,109,41,81,.506,8,21,.381,19,25,.760,8,30,38,25,6,4,10,23,10
UTA,12/7/17,UTA vs. HOU,L,240,101,34,77,.442,11,30,.367,22,27,.815,4,28,32,17,10,5,13,21,-11
LAL,12/7/17,LAL @ PHI,W,240,107,42,96,.438,11,28,.393,12,24,.500,15,29,44,22,13,7,11,23,3
PHX,12/7/17,PHX vs. WAS,L,240,99,36,78,.462,7,23,.304,20,28,.714,10,32,42,22,5,5,13,21,-10
PHI,12/7/17,PHI vs. LAL,L,240,104,39,81,.481,10,26,.385,16,21,.762,7,37,44,29,3,13,18,26,-3
HOU,12/7/17,HOU @ UTA,W,240,112,38,81,.469,18,42,.429,18,24,.750,8,38,46,22,10,5,17,25,11
BKN,12/7/17,BKN vs. OKC,W,240,100,35,80,.438,11,37,.297,19,30,.633,7,42,49,24,3,7,13,21,5
SAS,12/8/17,SAS vs. BOS,W,240,105,38,81,.469,8,27,.296,21,24,.875,14,32,46,16,6,3,13,14,3
NOP,12/8/17,NOP vs. SAC,L,265,109,41,89,.461,10,28,.357,17,19,.895,7,28,35,19,7,3,17,14,-7
GSW,12/8/17,GSW @ DET,W,240,102,39,81,.481,7,26,.269,17,22,.773,5,40,45,29,5,15,14,19,4
BOS,12/8/17,BOS @ SAS,L,240,102,38,83,.458,11,38,.289,15,17,.882,11,28,39,14,10,0,14,22,-3
DEN,12/8/17,DEN @ ORL,W,240,103,42,85,.494,6,21,.286,13,16,.813,6,38,44,21,7,7,12,20,14
CHA,12/8/17,CHA vs. CHI,L,265,111,40,100,.400,10,29,.345,21,29,.724,9,41,50,22,7,11,11,20,-8
ORL,12/8/17,ORL vs. DEN,L,240,89,33,83,.398,5,21,.238,18,23,.783,11,31,42,18,5,7,14,17,-14
MEM,12/8/17,MEM vs. TOR,L,240,107,41,82,.500,9,27,.333,16,22,.727,11,24,35,24,8,3,16,25,-9
MIL,12/8/17,MIL vs. DAL,W,240,109,36,79,.456,8,24,.333,29,34,.853,7,33,40,20,10,6,10,24,7
DET,12/8/17,DET vs. GSW,L,240,98,38,92,.413,12,27,.444,10,19,.526,15,34,49,20,8,2,11,17,-4
IND,12/8/17,IND vs. CLE,W,240,106,38,86,.442,15,39,.385,15,24,.625,12,37,49,21,7,3,8,19,4
DAL,12/8/17,DAL @ MIL,L,240,102,35,75,.467,10,24,.417,22,26,.846,4,32,36,18,6,2,11,22,-7
CHI,12/8/17,CHI @ CHA,W,265,119,48,99,.485,6,18,.333,17,22,.773,6,50,56,23,5,7,14,28,8
SAC,12/8/17,SAC @ NOP,W,265,116,47,97,.485,13,30,.433,9,14,.643,11,35,46,21,12,4,17,21,7
TOR,12/8/17,TOR @ MEM,W,240,116,37,78,.474,13,31,.419,29,33,.879,10,26,36,21,8,3,11,23,9
CLE,12/8/17,CLE @ IND,L,240,102,37,85,.435,11,36,.306,17,22,.773,9,35,44,23,4,4,11,23,-4
SAS,12/9/17,SAS @ PHX,W,240,104,40,87,.460,6,19,.316,18,25,.720,18,34,52,18,5,6,15,23,3
WAS,12/9/17,WAS @ LAC,L,240,112,42,82,.512,13,32,.406,15,23,.652,9,35,44,33,5,2,13,18,-1
MEM,12/9/17,MEM vs. OKC,L,265,101,39,88,.443,13,33,.394,10,17,.588,13,34,47,23,5,5,13,30,-1
BKN,12/9/17,BKN vs. MIA,L,240,89,33,81,.407,7,27,.259,16,19,.842,8,35,43,16,3,3,12,17,-12
POR,12/9/17,POR vs. HOU,L,240,117,45,88,.511,18,41,.439,9,12,.750,7,26,33,19,4,5,15,28,-7
CHA,12/9/17,CHA vs. LAL,L,240,99,41,93,.441,8,25,.320,9,14,.643,9,34,43,21,7,3,11,21,-11
ATL,12/9/17,ATL vs. ORL,W,240,117,41,80,.513,17,33,.515,18,25,.720,9,31,40,33,7,6,12,13,7
MIA,12/9/17,MIA @ BKN,W,240,101,42,90,.467,8,27,.296,9,14,.643,8,36,44,15,6,8,5,17,12
OKC,12/9/17,OKC @ MEM,W,265,102,36,92,.391,12,34,.353,18,31,.581,17,30,47,18,7,5,10,21,1
HOU,12/9/17,HOU @ POR,W,240,124,40,75,.533,10,25,.400,34,42,.810,7,28,35,14,13,2,12,17,7
NYK,12/9/17,NYK @ CHI,L,240,102,43,91,.473,7,24,.292,9,9,1.000,8,32,40,25,6,3,14,17,-2
MIL,12/9/17,MIL vs. UTA,W,240,117,44,81,.543,7,17,.412,22,26,.846,8,33,41,22,8,6,11,29,17
PHI,12/9/17,PHI @ CLE,L,240,98,37,78,.474,11,33,.333,13,13,1.000,7,32,39,31,10,2,19,21,-7
CLE,12/9/17,CLE vs. PHI,W,240,105,36,75,.480,14,29,.483,19,25,.760,6,27,33,26,12,2,17,16,7
ORL,12/9/17,ORL @ ATL,L,240,110,45,92,.489,13,34,.382,7,8,.875,10,29,39,39,7,2,12,24,-7
LAC,12/9/17,LAC vs. WAS,W,240,113,39,80,.488,14,32,.438,21,24,.875,4,29,33,22,8,4,10,19,1
LAL,12/9/17,LAL @ CHA,W,240,110,43,85,.506,9,27,.333,15,21,.714,6,40,46,24,7,5,14,21,11
CHI,12/9/17,CHI vs. NYK,W,240,104,42,82,.512,7,25,.280,13,23,.565,8,32,40,28,10,7,14,19,2
UTA,12/9/17,UTA @ MIL,L,240,100,33,76,.434,8,23,.348,26,37,.703,9,26,35,20,7,3,16,23,-17
PHX,12/9/17,PHX vs. SAS,L,240,101,35,80,.438,7,25,.280,24,30,.800,10,30,40,11,4,1,10,21,-3
TOR,12/10/17,TOR @ SAC,W,240,102,39,87,.448,11,37,.297,13,19,.684,12,32,44,22,8,2,13,17,15
DEN,12/10/17,DEN @ IND,L,265,116,43,95,.453,17,42,.405,13,16,.813,19,28,47,24,7,5,21,20,-10
PHI,12/10/17,PHI @ NOP,L,240,124,44,96,.458,9,29,.310,27,30,.900,22,25,47,26,5,4,17,29,-7
NOP,12/10/17,NOP vs. PHI,W,240,131,46,80,.575,15,24,.625,24,32,.750,5,28,33,31,11,9,14,21,7
MIN,12/10/17,MIN vs. DAL,W,240,97,36,72,.500,7,19,.368,18,23,.783,9,36,45,19,7,2,18,19,5
IND,12/10/17,IND vs. DEN,W,265,126,49,93,.527,10,25,.400,18,22,.818,11,29,40,24,6,2,11,17,10
ATL,12/10/17,ATL @ NYK,L,240,107,37,77,.481,9,31,.290,24,30,.800,6,29,35,22,5,4,16,28,-4
DET,12/10/17,DET vs. BOS,L,240,81,28,84,.333,10,33,.303,15,19,.789,11,35,46,14,7,4,9,16,-10
NYK,12/10/17,NYK vs. ATL,W,240,111,39,80,.488,5,17,.294,28,34,.824,6,27,33,16,9,4,12,30,4
SAC,12/10/17,SAC vs. TOR,L,240,87,35,73,.479,10,23,.435,7,14,.500,7,35,42,15,7,6,21,17,-15
DAL,12/10/17,DAL @ MIN,L,240,92,37,81,.457,11,31,.355,7,9,.778,6,27,33,23,6,5,10,22,-5
BOS,12/10/17,BOS @ DET,W,240,91,33,79,.418,11,30,.367,14,18,.778,9,41,50,16,4,4,13,18,10
CHA,12/11/17,CHA @ OKC,W,240,116,43,81,.531,13,25,.520,17,24,.708,9,32,41,22,7,4,12,20,13
LAC,12/11/17,LAC vs. TOR,W,240,96,34,92,.370,8,36,.222,20,24,.833,14,43,57,18,6,7,12,20,5
CHI,12/11/17,CHI vs. BOS,W,240,108,39,81,.481,12,29,.414,18,25,.720,10,36,46,23,9,3,8,18,23
BOS,12/11/17,BOS @ CHI,L,240,85,33,83,.398,10,40,.250,9,14,.643,11,35,46,22,2,2,15,19,-23
GSW,12/11/17,GSW vs. POR,W,240,111,44,80,.550,10,20,.500,13,17,.765,6,36,42,26,5,9,14,16,7
MIA,12/11/17,MIA @ MEM,W,240,107,37,66,.561,14,27,.519,19,24,.792,2,33,35,24,8,8,13,22,25
MEM,12/11/17,MEM vs. MIA,L,240,82,28,72,.389,8,27,.296,18,27,.667,6,25,31,17,6,1,14,22,-25
HOU,12/11/17,HOU vs. NOP,W,240,130,48,88,.545,17,45,.378,17,25,.680,4,32,36,30,12,7,9,15,7
