TEAM,DATE,MATCHUP,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
GSW,11/16/17,GSW @ BOS,L,240,88,33,82,.402,10,32,.313,12,19,.632,7,40,47,22,9,10,15,24,-4
PHX,11/16/17,PHX vs. HOU,L,240,116,47,104,.452,10,30,.333,12,21,.571,16,31,47,28,9,5,14,22,-26
BOS,11/16/17,BOS vs. GSW,W,240,92,26,79,.329,7,32,.219,33,38,.868,7,45,52,15,8,5,15,15,4
HOU,11/16/17,HOU @ PHX,W,240,142,43,90,.478,21,44,.477,35,38,.921,12,39,51,27,9,9,14,20,26
LAC,11/17/17,LAC @ CLE,L,265,113,46,103,.447,10,35,.286,11,14,.786,13,42,55,29,7,10,15,26,-5
NOP,11/17/17,NOP @ DEN,L,240,114,48,91,.527,12,33,.364,6,10,.600,8,21,29,32,2,0,13,19,-32
LAL,11/17/17,LAL vs. PHX,L,240,113,45,91,.495,7,25,.280,16,24,.667,9,40,49,26,7,10,19,20,-9
TOR,11/17/17,TOR vs. NYK,W,240,107,44,78,.564,9,26,.346,10,11,.909,3,37,40,29,4,11,12,19,23
DET,11/17/17,DET @ IND,L,240,100,39,93,.419,14,33,.424,8,10,.800,11,32,43,20,4,8,11,18,-7
CHI,11/17/17,CHI vs. CHA,W,240,123,47,91,.516,17,34,.500,12,13,.923,4,31,35,26,9,2,11,23,3
PHX,11/17/17,PHX @ LAL,W,240,122,48,103,.466,13,32,.406,13,19,.684,9,35,44,28,10,5,13,22,9
BKN,11/17/17,BKN vs. UTA,W,240,118,43,84,.512,17,37,.459,15,20,.750,4,32,36,27,8,2,12,21,11
WAS,11/17/17,WAS vs. MIA,L,240,88,32,84,.381,10,35,.286,14,16,.875,7,39,46,18,4,4,12,17,-3
POR,11/17/17,POR @ SAC,L,240,82,30,81,.370,7,25,.280,15,16,.938,11,33,44,13,8,1,17,20,-4
OKC,11/17/17,OKC @ SAS,L,240,101,39,89,.438,9,23,.391,14,21,.667,13,28,41,24,7,3,8,22,-3
DEN,11/17/17,DEN vs. NOP,W,240,146,56,89,.629,18,35,.514,16,21,.762,13,35,48,37,5,4,14,15,32
MIN,11/17/17,MIN @ DAL,W,240,111,39,84,.464,13,30,.433,20,23,.870,11,37,48,27,7,0,10,18,24
CHA,11/17/17,CHA @ CHI,L,240,120,42,81,.519,10,21,.476,26,34,.765,5,37,42,19,3,2,12,15,-3
NYK,11/17/17,NYK @ TOR,L,240,84,30,91,.330,9,23,.391,15,17,.882,14,29,43,17,7,4,9,12,-23
IND,11/17/17,IND vs. DET,W,240,107,39,89,.438,15,28,.536,14,21,.667,13,38,51,22,4,5,10,13,7
MIA,11/17/17,MIA @ WAS,W,240,91,34,83,.410,10,35,.286,13,18,.722,10,42,52,21,6,7,15,19,3
UTA,11/17/17,UTA @ BKN,L,240,107,39,79,.494,12,26,.462,17,24,.708,10,29,39,21,6,6,16,19,-11
SAS,11/17/17,SAS vs. OKC,W,240,104,34,77,.442,14,35,.400,22,28,.786,12,32,44,23,6,7,13,18,3
